"해당 자료는 2022년 01월 03일 추출한 자료입니다. K-apt 시스템은 실시간으로 수정, 변경이 가능한 시스템으로 기존 데이터가 수정 될 수 있으며, 엑셀자료는 단순 참조자료로 활용하여 주시기 바랍니다. 현 시점 정확한 자료는 제공되고 있는 OPENAPI를 참조하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
시도,시군구,읍면,동리,단지코드,단지명,연면적,건축물대장연면적,관리비부과면적,주거전용면적,동수,세대수,전용면적(40이하),전용면적(40초과60이하),전용면적(60초과85이하),전용면적(85초과105이하),전용면적(105초과125이하),전용면적(125초과)
경기도,성남분당구,,금곡동,A46372411,금곡청솔마을주공9단지,"61,816","58,646","57,814","39,917",6,"1,020",600,420,0,0,0,0
경기도,남양주시,오남읍,오남리,A47275905,오남한신1차,"28,420","23,484","25,837","20,032",2,283,0,156,127,0,0,0
경상북도,경산시,하양읍,금락리,A71290202,하양2차롯데낙천대,"57,587","46,871","44,269","35,768",7,486,0,272,170,0,44,0
경기도,안양동안구,,호계동,A43175109,호계효성,"47,972","36,479","39,479","30,635",2,370,0,102,226,0,0,42
경기도,의왕시,,내손동,A43708001,의왕대원칸타빌2,"39,651","31,377","33,336","24,879",4,322,0,96,226,0,0,0
광주광역시,광산구,,장덕동,A50625101,수완영무예다음,"26,863","26,674","20,119","15,142",4,179,0,0,179,0,0,0
경상북도,포항북구,,양덕동,A79170604,장량휴먼시아1단지,"74,048","66,767","74,048","45,606",9,900,149,751,0,0,0,0
광주광역시,서구,,화정동,A50270406,화정광명,"25,945","22,666","24,354","18,372",2,309,0,309,0,0,0,0
서울특별시,금천구,,시흥동,A15378501,시흥월드메르디앙,"23,295","23,294","18,007","14,136",2,202,0,113,89,0,0,0
경기도,용인수지구,,성복동,A44898103,엘지빌리지2차,"128,169","128,169","128,169","105,198",8,758,0,0,0,0,0,758
서울특별시,송파구,,풍납동,A13887403,현대리버빌2차아파트,"46,653","26,617","26,617","26,617",4,384,0,182,182,0,20,0
대구광역시,중구,,대신동,A70032001,태왕아너스스카이,"92,362","90,571","70,972","56,654",6,492,0,0,222,0,56,214
경상남도,거제시,,아주동,A65690304,해와루 아파트,"41,593","38,588","38,179","29,206",6,350,0,0,350,0,0,0
울산광역시,남구,,삼산동,A68081310,아데라움아파트,"165,102","130,626","130,614","102,542",8,994,0,0,517,0,317,160
경기도,안양만안구,,안양동,A43085501,흥화아파트,"18,373","13,523","15,158","10,407",1,152,0,83,69,0,0,0
부산광역시,중구,,대청동1가,A60070101,코모도에스테이트,"12,897","12,897","12,897","7,266",1,268,246,22,0,0,0,0
경기도,남양주시,,금곡동,A47270706,금곡GS,"43,974","33,771","35,933","29,259",3,260,0,0,0,178,0,82
전라북도,익산시,오산면,장신리,A57092102,장신휴먼시아3단지,"44,639","38,144","44,422","25,779",7,593,335,258,0,0,0,0
서울특별시,서초구,,방배동,A13783001,방배3차e편한세상,"68,971","46,705","46,705","40,628",5,192,0,0,0,0,0,192
대전광역시,대덕구,,법동,A30606202,선비마을1,"129,232","94,834","101,250","77,046",11,"1,140",0,768,372,0,0,0
울산광역시,남구,,달동,A68072401,달동주공3단지,"56,933","54,679","54,152","36,338",7,"1,378","1,378",0,0,0,0,0
서울특별시,도봉구,,방학동,A13202308,방학삼익세라믹,"41,277","30,561","40,050","30,561",4,476,0,280,196,0,0,0
울산광역시,남구,,무거동,A68081219,신복현대아파트,"58,245","52,454","53,802","38,904",3,651,0,651,0,0,0,0
경상북도,안동시,,신안동,A76014001,신안현대아파트,"34,061","30,152","33,081","26,587",4,330,0,0,330,0,0,0
경기도,이천시,부발읍,신하리,A46786302,유승,"17,411","11,022","15,063","11,022",2,153,0,79,74,0,0,0
충청남도,논산시,,내동,A32003004,동신아파트,"34,738","30,511","32,770","26,550",4,288,0,0,0,288,0,0
대구광역시,수성구,,범어동,A70672608,래미안수성,"101,687","101,687","60,086","60,086",5,467,0,0,0,61,0,406
대전광역시,유성구,,도룡동,A30534002,연구원현대,"22,702","21,697","22,294","17,616",3,150,0,0,0,54,66,30
경상남도,양산시,물금읍,가촌리,A62681106,양산 물금 동일스위트 ,"172,624","129,569","129,562","97,890",12,"1,292",0,424,868,0,0,0
인천광역시,연수구,,옥련동,A40671303,옥련백산1차,"31,231","19,936","27,663","19,936",2,307,0,244,63,0,0,0
경기도,용인기흥구,,고매동,A44690101,매화마을 우남 퍼스트빌,"20,963","18,125","18,110","13,979",3,166,0,0,166,0,0,0
대구광역시,달서구,,용산동,A70492604,용산2차우방타운,"39,824","31,091","33,179","25,010",3,379,39,204,136,0,0,0
대전광역시,서구,,둔산동,A30212006,목련,"187,737","145,787","158,300","132,301",15,"1,166",0,0,90,408,360,308
경상북도,경주시,,황성동,A78075715,황성럭키아파트,"44,024","42,284","41,904","34,248",5,353,0,0,293,0,0,60
경기도,용인기흥구,,영덕동,A44678708,흥덕마을12단지,"175,370","117,236","117,236","97,765",14,759,0,0,0,0,460,299
경기도,고양일산서구,,일산동,A41172608,일산태영,"81,217","67,927","53,990","53,990",9,636,0,0,636,0,0,0
경상북도,구미시,,원평동,A73092101,대영파크에비앙,"9,721","9,721","7,507","4,861",1,164,135,29,0,0,0,0
부산광역시,부산진구,,전포동,A61404003,양정메트로하이츠,"38,511","35,769","29,819","23,773",4,258,0,0,208,0,0,50
전라북도,익산시,오산면,장신리,A57092101,장신휴먼시아2단지,"40,342","35,950","39,647","24,174",6,566,271,295,0,0,0,0
인천광역시,서구,,마전동,A40473123,검단2차아이파크,"103,293","66,597","66,482","54,777",7,409,0,0,0,0,40,369
경상남도,진주시,,평거동,A66077409,평거휴먼시아4단지,"97,607","73,668","97,069","54,484",13,706,0,220,486,0,0,0
경기도,구리시,,수택동,A47175801,수택엘지원앙,"77,314","61,803","68,367","49,467",7,824,0,484,340,0,0,0
서울특별시,동작구,,사당동,A15609005,사당 대림아파트 관리사무소,"136,437","110,733","135,401","110,733",12,"1,152",0,162,570,0,0,420
전라남도,영암군,삼호읍,용앙리,A52670302,삼호퀸스빌1차,"24,470","23,092","23,085","17,060",2,285,0,285,0,0,0,0
경상남도,창원마산회원구,내서읍,호계리,A63078729,코오롱하늘채2차아파트,"243,372","243,372","203,875","158,065",19,"1,730",0,0,"1,164",435,0,131
전라남도,순천시,,가곡동,A54008002,가곡신영아파트,"52,006","45,648","48,727","33,346",3,670,0,670,0,0,0,0
강원도,원주시,문막읍,동화리,A22080308,문막만도사원,"26,409","26,514","24,099","23,659",11,470,0,470,0,0,0,0
서울특별시,강서구,,가양동,A15780703,가양대림경동,"97,179","78,030","70,740","70,956",6,540,0,0,0,0,0,540
서울특별시,관악구,,봉천동,A15106101,봉천은천1단지,"28,876","18,219","15,247","15,247",4,180,0,0,180,0,0,0
광주광역시,광산구,,송정동,A50601012,송정금강아파트,"43,243","36,227","38,017","29,345",4,490,0,490,0,0,0,0
